product_url,product_name,product_price,ratings,number_of_reviews,description,product_description,asin,manufacturer
https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0560342JL4B5JVVHI2V&url=%2FMokobara-Transit-Backpack-Laptop-Loading%2Fdp%2FB09V5GS5PH%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653583830%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1&qualifier=1653583830&id=4954866617152809&widgetName=sp_atf,Mokobara The Transit Backpack Laptop Bag for Men and Women,"₹5,161",4.2 out of 5 stars,32,"[['Care Instructions: Wipe with Damp Cloth'], ['Incredible functionality with a sleek minimalist design.'], ['Crafted with durable, water-resistant materials and premium zippers.'], ['Front compartment houses a retractable key holder, cardholder, pen pockets, slip pockets and a zipper pocket.'], ['Separate tech compartment with 5 pockets at the back to hold your laptop, ipad, books and chargers securely.'], ['Fits upto 16 inches of laptop & a large tablet/ipad.']]",,B09V5GS5PH,"Designed By Mokobara Lifestyle Private Limited, Bangalore."
https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06028731VLHI9S52MRMX&url=%2FBackpack-Anti-Theft-Business-Bookbag-Charging%2Fdp%2FB08ZL9ZSK1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653583830%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1&qualifier=1653583830&id=4954866617152809&widgetName=sp_atf,"Heroz Hybrid Laptop Backpack, Unisex Anti-Theft Travel Backpack, Business School Bookbag with USB Charging Port for Men & Women Fit for 15.6 Inches Laptop (Black)","₹1,114",3.8 out of 5 stars,21,"[['Anti-Theft Laptop Tab Compartment Backpack: Made of strong anti-scratch fabric, this college backpack keeps your belongings pretty safe with hidden zippers pocket secret pocket at the back side for Laptop'], ['Convenient Charging: Via the built-in charging cable on the inside of the laptop backpack and the USB charging port on the outside, you can just plug in and charge your device anywhere (Reminder: Power bank NOT included)'], ['Great for Your Electronics: The business backpack has versatile compartments for separately storing pens, key ring, phone, wallet, notebook, and up to 15.6 inches laptop – protected from shock with elastic band and velcoro inside'], ['Less Stress, More Comfort: The adjustable shoulder straps, widened and well curved with padding, and EVA material at the back section of the laptop bagpack for back protection and breathability, can offer painless carrying for a few hours; Meticulous & Minimalist Design: This Travel backpack is equipped with reflective strips on front for safe travelling at night, and a luggage strap that allows the travel backpack to hook to the suitcase.; Age Range Description: Adult']]",,B08ZL9ZSK1,A H Creation
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,₹999,4.1 out of 5 stars,"39,158","[['Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No'], ['Outer Material: Polyester, Color: Black'], ['Water Resistance: Water resistant , not Waterproof'], ['Capacity: 32 liters; Dimensions: 32.5 cms x 18 cms x 50 cms (LxWxH)'], ['Number of Wheels: 0, Number of compartments: 3'], ['Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of'], ['Mesh pockets on both sides to accommodate your sipper or bottle and umbrella'], ['Lightweight backpack made of durable double dot polyester fabric'], ['Mesh Padding on back & shoulder strap to provide comfort & better back support']]",,B07CJCGM1M,No
https://www.amazon.in/Storage-Backpack-Charging-Resistant-Computer/dp/B09S8PY6B9/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-4,Travel Laptop Backpack with USB Charging Port+Anti-Theft[Water Resistant] College School Bookbag Fits 16 Inch Laptop,"₹6,349",4.8 out of 5 stars,6,"[['❤ Deep Storage Backpack for School,Travel and Work --- Open the main space, you can store your daily essentials, such as laptop (Up to 15.6 Inch), tablet, books, pens, mouse, power bank and charger. FRONT ZIPPER POCKET and 2 SIDE POCKETS can hold pencil box, water bottles or umbrella. Lots of pockets design make your items organized, say goodbye to dig around in bookbag.（If you have more storage needs or are taller than 5.84 feet, it is recommended to choose MAXTOP 17-inch backpack.）'], ['❤ Creative USB Design with Detachable Cable&Inside Power Bank Pocket --- With built in USB charger outside and built in charging cable inside the book bag, you can charge your phone conveniently without opening up the computer backpack. Detachable Cable inside convenient for cleaning the back pack and Inside Side Pocket is design for prevent your Power Bank moving around and same space.(Power Bank Not included)'], ['❤ Great Travel Backpack with Luggage Strap&Hidden Anti Theft Pocket --- A Luggage belt design on the back of the book bag helps to free your hand and back by fixing the laptop bag on the trolley of your luggage, will make your traveling and business trip more convenient. With a Hidden Anti Theft Pocket on the back of backpack protect your valuable items from thieves. Well made for international airplane travel and day trip.'], ['❤ Comfortable on Your Shoulder and Back with Ergonomic Back Support System --- Comfortable back design with soft padding, gives you maximum back support.Breathable and adjustable ergonomics S-shape padded shoulder straps relieve the stress of shoulder and neck. Even if you pack a lot of things in your backpack, you will not feel a lot of pressure on your shoulders. Very suitable for business travel.'], ['❤ Updated Quality Material & Multipurpose ---In addition to the previous lightweight, water resistant,durable features, the NEW fabric is more sturdy and not easy to wrinkle. Ensure a secure & long-lasting usage.Newly upgraded backpack has slightly adjusted the internal storage space and added a pen position. Serve you well as office work backpack, bookbag, travel backpack, business laptop backpack and college high school student backpack for boys, girls, teenagers, adults, men, women.']]",,B09S8PY6B9,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹689,3.9 out of 5 stars,"9,803","[['SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort'], ['COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं'], ['PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm'], ['BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.'], ['OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.']]"," We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature. ",B085MHDJ93,Amazing Bags
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-6,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹299,4.0 out of 5 stars,"13,456","[['Outer Material: Polyester, Color: Sea Blue'], ['Not water resistant. With Rain Cover:No'], ['Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)'], ['Number of compartments: 2; Laptop Compatibility: No'], ['Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket'], ['Drawstring, 2 Compartments, Compact Size']]",,B07Q7CNPMV,Safari Industries (India) Ltd
https://www.amazon.in/regular-waterproof-storage-college-Backpack/dp/B08BYSL2ZT/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-7,The Westzone Regular Hi Storage 25 L Waterproof Rain Cover Laptop Backpack (Navy Blue Ct),₹639,3.9 out of 5 stars,663,"[['25L Backpack for School College office and Regular use; Number of Contents: 1 Bag with rain cover'], ['Laptop Sleeve: No, Capacity : 25 L; Dimensions W x H x D : 12 x 17 x 8 inch'], ['Number of Compartments : 4, Number of Pockets : 2, One Year Warranty'], ['Age Range Description: Adult; Pattern Name: Solid']]",,B08BYSL2ZT,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-8,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",₹689,3.9 out of 5 stars,227,"[['➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.'], ['Style Name: Traditional Backpacks; Pocket Description: Utility Pocket'], ['➧ PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.'], ['Highly Water Resistant Material: This Backpack is water-resistant. The material is the reversed side of 1680D special polyester, which is waterproof, tear-resistant, anti-scratch and built for lasting durability.']]",,B09QJ7ZF2Y,
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-9,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹499,3.9 out of 5 stars,"8,172","[['Grey Colour Backpack for Men for Stylish Office use as well as for Trendy College and School students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories and water bottle'], ['Capacity: 25 liters; Weight: 500 grams; Dimensions: 30 cms x 20 cms x 42 cms (LxWxH)'], ['The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.'], ['USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag'], ['Warranty- 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty']]",,B07J46KLFP,No
https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-10,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,₹593,4.0 out of 5 stars,"2,876","[['COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items'], ['CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use'], ['CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.'], ['HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.; Pattern Name: Solid; Closure Type: Zipper; Age Range Description: Kid; Pocket Description: Utility Pocket']]",,B08678P2T7,Northzone
